catalog_watch_id,reference,old_model,new_model,watchbase_family,source
sinn-5-560-102,"5,560,102",Instrument Watches,Series 556 I Mother-of-pearl W,instrument-watches,watchbase-family-page-2026-05-21
sinn-5-560-103,"5,560,103",Instrument Watches,Series 556 Anniversary,instrument-watches,watchbase-family-page-2026-05-21
sinn-556-f-4,556.F-4,Instrument Watches,556 F-4 / Japan,instrument-watches,watchbase-family-page-2026-05-21
sinn-556-f-4-ii,556.F-4.II,Instrument Watches,556 F-4 / Japan,instrument-watches,watchbase-family-page-2026-05-21
sinn-6-000-010,"6,000,010",Frankfurt Financial District,Frankfurt Financial District 6000,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-000-040,"6,000,040",Frankfurt Financial District,Frankfurt Financial District 6000 Rose Gold,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-052-010,"6,052,010",Frankfurt Financial District,Frankfurt Financial District 6052,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-060-010,"6,060,010",Frankfurt Financial District,Frankfurt Financial District 6060,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-068-010,"6,068,010",Frankfurt Financial District,Frankfurt Financial District 6068,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-099-010,"6,099,010",Frankfurt Financial District,Frankfurt Financial District 6099,frankfurt-financial-district,watchbase-family-page-2026-05-21
sinn-6-100-010,"6,100,010",Classic Timepieces,Classic Timepieces Regulateur Stainless Steel / Silver,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-100-011,"6,100,011",Classic Timepieces,Classic Timepieces Regulateur Stainless Steel / Silver,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-100-015,"6,100,015",Classic Timepieces,Classic Timepieces Regulateur Technik Stainless Steel / Black,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-100-021,"6,100,021",Classic Timepieces,Classic Timepieces Regulateur Rose Gold / Silver,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-100-030,"6,100,030",Classic Timepieces,Classic Timepieces Regulateur White Gold / Grey,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-200-010,"6,200,010",Classic Timepieces,Classic Timepieces 6200 Meisterbund I,classic-timepieces,watchbase-family-page-2026-05-21
sinn-6-200-020,"6,200,020",Classic Timepieces,Classic Timepieces 6200 WG Meisterbund I,classic-timepieces,watchbase-family-page-2026-05-21
sinn-603-010,"603,010",Diving Watches,EZM 3,diving-watches,watchbase-family-page-2026-05-21
sinn-613-010,"613,010",Diving Watches,EZM 13,diving-watches,watchbase-family-page-2026-05-21
sinn-703-010,"703,010",Instrument Watches,Pilot&#039;s Watch EZM 3F,instrument-watches,watchbase-family-page-2026-05-21
sinn-756-010,"756,010",Instrument Chronographs,Duochronograph 756,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-756-014,"756,014",Instrument Chronographs,Duochronograph 756 II,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-756-030,"756,030",Instrument Chronographs,Duochronograph 756 DIAPAL,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-757-011,"757,011",Instrument Chronographs,Duochronograph 757 UTC,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-757-017,"757,017",Instrument Chronographs,Duochronograph 757 II,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-757-021,"757,021",Instrument Chronographs,Duochronograph 757 S UTC,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-757-030,"757,030",Instrument Chronographs,Duochronograph 757 DIAPAL,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-757-031,"757,031",Instrument Chronographs,Duochronograph 757 III,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-8-570-401,"8,570,401",Instrument Watches,Pilot&#039;s Watch 857 UTC VFR,instrument-watches,watchbase-family-page-2026-05-21
sinn-836-010,"836,010",Instrument Watches,Pilot Watch 836,instrument-watches,watchbase-family-page-2026-05-21
sinn-856-010,"856,010",Instrument Watches,Pilot&#039;s Watch 856 UTC,instrument-watches,watchbase-family-page-2026-05-21
sinn-856-011,"856,011",Instrument Watches,Pilot&#039;s Watch 856,instrument-watches,watchbase-family-page-2026-05-21
sinn-856-012,"856,012",Instrument Watches,Pilot&#039;s Watch 856 B-Uhr,instrument-watches,watchbase-family-page-2026-05-21
sinn-856-020,"856,020",Instrument Watches,Pilot&#039;s Watch 856 S UTC,instrument-watches,watchbase-family-page-2026-05-21
sinn-856-023,"856,023",Instrument Watches,Pilot&#039;s Watch 856 S,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-010,"857,010",Instrument Watches,Pilot&#039;s Watch 857 UTC,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-012,"857,012",Instrument Watches,Pilot&#039;s Watch 857,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-020,"857,020",Instrument Watches,Pilot&#039;s Watch 857 S UTC,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-021,"857,021",Instrument Watches,Pilot&#039;s Watch 857 S,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-030,"857,030",Instrument Watches,Pilot&#039;s Watch EZM 7,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-041,"857,041",Instrument Watches,Pilot&#039;s Watch 857 UTC TESTAF LH Cargo,instrument-watches,watchbase-family-page-2026-05-21
sinn-857-050,"857,050",Instrument Watches,Pilot&#039;s Watch EZM 7 S,instrument-watches,watchbase-family-page-2026-05-21
sinn-900-011,"900,011",Instrument Chronographs,900,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-900-013,"900,013",Instrument Chronographs,900 DIAPAL,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-900-020,"900,020",Instrument Chronographs,900 S,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-901-010,"901,010",Instrument Chronographs,901,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-903-042,"903,042",Instrument Chronographs,903 St Silver,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-903-045,"903,045",Instrument Chronographs,903 St B E,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-910-010,"910,010",Instrument Chronographs,910 Anniversary,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-917-011,"917,011",Instrument Chronographs,Rally Chronograph 917,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-949-010,"949,010",Instrument Watches,Pilot&#039;s Watch EZM 9 TESTAF,instrument-watches,watchbase-family-page-2026-05-21
sinn-956-015,"956,015",Special Edition,Special Edition 956 Adler,special-edition,watchbase-family-page-2026-05-21
sinn-u1-d,U1-D,Diving Watches,U1 Dune,diving-watches,watchbase-family-page-2026-05-21
